"","OPCS","Prop_IP","Median Mean LOS","Median Median LOS","Admissions","class1","class2","class3","class4","class1_proportion","class2_proportion","class3_proportion","class4_proportion","class1_prop_dc","class2_prop_dc","class3_prop_dc","class4_prop_dc","class1_prop_bed","class2_prop_bed","class3_prop_bed","class4_prop_bed","class1_proportional_cost","class2_proportional_cost","class3_proportional_cost","class4_proportional_cost","value"
"11","A11",0.993928070994862,10.0279187817259,5,939.2,511,0,428.2,0,0.000620144125863772,0,0.000173260111267088,0,3.76547110519804e-06,0,1.05202309503603e-06,0,0.0062187549271263,0,0.00172688872174563,0,1.0219975194235,0,0.285532663368161,0,1648
"12","A12",0.995166624268634,13.5,5,1422.4,636.2,0,786.2,0,0.000772085504646833,0,0.000318115598968203,0,3.73177934069956e-06,0,1.5375722158219e-06,0,0.0104231543127323,0,0.00427380336115714,0,1.27239691165798,0,0.524254507099598,0,1648
"13","A13",0.965579710144927,6.4,3,622.4,401.6,0,220.8,0,0.000487377457821704,0,8.93410382245983e-05,0,1.67756733670514e-05,0,3.07514443164378e-06,0,0.00311921573005891,0,0.000552101720274909,0,0.803198050490169,0,0.147234030994138,0,1648
"14","A14",0.883406113537118,8.92575406032483,3,1062.8,604.8,0,458,0,0.000733978801022328,0,0.00018531791443327,0,8.55774409925596e-05,0,2.16069358749708e-05,0,0.00655131426341739,0,0.00146124393158649,0,1.2095970640848,0,0.305403922986029,0,1648
"15","A16",0.996610169491525,18.4084507042254,12,133,74,12.6,46.4,0,8.98056072679435e-05,3.45439116173002e-05,1.87745660037199e-05,0,3.04425787348956e-07,1.17098005482372e-07,6.36425966227784e-08,0,0.00165318209435496,0.000633744301276704,0.000344439111170084,0,0.147999640777571,0.0569283663453108,0.0309404847741304,0,1648
"16","A17",0.995274102079395,9.13216957605985,4,403,191.4,0,211.6,0,0.000232280989609249,0,8.561849496524e-05,0,1.09773624579041e-06,0,4.04624267321554e-07,0,0.00212122938640665,0,0.000778187517445829,0,0.382799070876042,0,0.141099279702716,0,1648
"17","A18",0.981481481481482,7.92307692307692,5,20.8,10,4.6,6.2,0,1.21358928740464e-05,1.26112693206017e-05,2.50867045739361e-06,0,2.24738756926785e-07,2.33542024455586e-07,4.64568603221038e-08,0,9.61536127712909e-05,9.80696855002344e-05,1.95083077306435e-05,0,0.0199999514564285,0.0207833718403516,0.00413428891378467,0,1648
"18","A20",0.95695020746888,15.5063063063063,8,1441.2,1055.6,0,385.6,0,0.00128106485178434,0,0.00015602311747919,0,5.51495760882262e-05,0,6.71676283753773e-06,0,0.0198645839900109,0,0.00231519006855145,0,2.11119487574059,0,0.257126097605705,0,1648
"19","A22",0.735537190082645,12.1,5,41.4,17.2,10,14.2,0,2.08737357433598e-05,2.74158028708732e-05,5.74566459596601e-06,0,5.52032680816128e-06,7.25046026337143e-06,1.51951460389184e-06,0,0.000252572202494654,0.000244000645550772,5.11364149040975e-05,0,0.0712003126206004,0.0935153035925485,0.0195984619368401,0,3411
"20","A24",0.932203389830508,2.81818181818182,2,48,0.8,0,0,47.2,9.70871429923714e-07,0,0,5.58546919676851e-05,6.58217918592349e-08,0,0,3.78675877747018e-06,2.73609221160319e-06,0,0,0.000146736902626969,0.00400775726272509,0,0,0.230568168442604,4128
"21","A25",0.62962962962963,8,4,11.2,0.4,0,1,9.8,4.85435714961857e-07,0,4.0462426732155e-07,1.15969487560024e-05,1.79791005541428e-07,0,1.49860839748722e-07,4.29516620592682e-06,3.88348571969486e-06,0,2.03810742058262e-06,5.84142604006047e-05,0.00200387863136255,0,0.00167028897550336,0.0478722044647779,4128
"22","A26",0.340217391304348,2.30232558139535,1,381.6,13.6,0,368,0,1.65048143087031e-05,0,0.00014890173037433,0,1.08895894406335e-05,0,9.82427721056724e-05,0,3.79994561991072e-05,0,0.000116633415548771,0,0.0681318734663265,0,0.614666342985236,0,4128
"23","A27",0.571428571428571,7.75,5,6.6,1,0.8,4.8,0,1.21358928740464e-06,2.19326422966986e-06,1.94219648314344e-06,0,5.2010969460199e-07,9.39970384144224e-07,8.32369921347189e-07,0,9.40531697738598e-06,9.71302730282365e-06,8.60115585392095e-06,0,0.00500969657840636,0.00905379474007717,0.00801738708241612,0,4128
"24","A28",0.25,3.7,1,69.2,3.6,0,65.6,0,4.36892143465671e-06,0,2.65433519362937e-05,0,3.27669107599253e-06,0,1.99075139522203e-05,0,1.61650093082298e-05,0,2.45526005410717e-05,0,0.0180349076822629,0,0.10957095679302,0,4128
"25","A29",0.956953642384106,10.8547297297297,7,383.2,20.8,0,294,68.4,2.52426571780166e-05,0,0.000118959534592536,8.0941968868425e-05,1.08660444806032e-06,0,5.12077466789061e-06,3.48425693804478e-06,0.000274002221327592,0,0.00123568897174961,0.000840782528487539,0.104201688830852,0,0.491064958797988,0.334128447488858,4128
"26","A30",0.855769230769231,1.8,1,48.6,27.8,0,16.4,4.4,3.37377821898491e-05,0,6.63583798407342e-06,5.20679331902149e-06,4.86602627738208e-06,0,9.57092016933667e-07,7.509798056281e-07,6.07280079417283e-05,0,1.02217427408516e-05,8.0204643241081e-06,0.139269564879697,0,0.0273927391982551,0.0214936428209207,4128
"27","A31",0.435064935064935,3.13636363636364,2,31.4,0.6,0,30.8,0,7.28153572442785e-07,0,1.24624274335037e-05,0,4.11359485730664e-07,0,7.04046225139497e-06,0,2.28375438629783e-06,0,1.70052544347957e-05,0,0.00300581794704382,0,0.0514449004455035,0,4128
"28","A32",0.972164520149564,4.69751693002257,4,494.2,12.8,0,0,481.4,1.55339428787794e-05,0,0,0.000569670523585669,4.32394754000092e-07,0,0,1.58570523806563e-05,7.29709596630699e-05,0,0,0.00260154815706012,0.0641241162036015,0,0,2.35159992136164,4128
"29","A33",0.444032812913469,1.91383219954649,1,772,16.2,0,620.8,135,1.96601464559552e-05,0,0.000251190745153218,0.000159753885924523,1.09303963228266e-05,0,0.000139653812005004,8.88179185835996e-05,3.76262213352068e-05,0,0.000213462974097716,0.000135759538403037,0.0811570845701831,0,1.03691539599249,0.659464041096431,4128
"30","A34",0.705882352941177,3.22222222222222,2,11.8,1.6,0,7.6,2.6,1.94174285984743e-06,0,3.07514443164378e-06,3.07674150669452e-06,5.71100841131596e-07,0,9.04454244601112e-07,9.04923972557211e-07,6.25672699284171e-06,0,6.9944461582486e-06,6.9980787211091e-06,0.00801551452545018,0,0.0126941962138255,0.012700788939635,4128
"31","A36",0.148429035752979,2.25,1,770.8,32.4,0,248.2,490.2,3.93202929119104e-05,0,0.000100427743149209,0.000580084110223712,3.34840197494708e-05,0,8.55213500707238e-05,0.000493982785087582,8.84706590517984e-05,0,3.35393844265911e-05,0.000193727981556294,0.162314169140366,0,0.414565723719934,2.39458720700348,4128
"32","A38",0.990935522490166,10.0080291970803,6,1339.4,170,0,1169.4,0,0.000206310178858789,0,0.000473167618205821,0,1.87009397631534e-06,0,4.28901723360842e-06,0,0.00206475829367362,0,0.00469255072841606,0,1.09076191562642,0,2.50163719745417,0,5287
"33","A39",0.980392156862745,10.372,6,246.2,83,0,91.6,71.6,0.000100727910854585,0,3.7063582886654e-05,8.47287276458951e-05,1.97505707558011e-06,0,7.26736919346158e-07,1.66134760089991e-06,0.00104474989138376,0,0.000376885766372917,0.00086157486582669,0.165999597088357,0,0.0610807845972058,0.139632943160435,1648
"34","A40",1,13.3874538745387,8,348,336.8,2,8,1.2,0.000408736871997883,5.48316057417464e-06,3.2369941385724e-06,1.42003454155132e-06,0,0,0,0,0.00547194602069491,7.34055592734524e-05,4.33351097222903e-05,1.901064692527e-05,1.47063526544838,0.0197284117458804,0.0116467049105835,0.00510928428050163,3598
"35","A41",1,12.4515333098343,8,3000.4,2921.8,78.6,0,0,0.00354586517993888,0.000215488210565063,0,0,0,0,0,0,0.0441514584001907,0.00268315863172748,0,0,12.0949461287715,0.735030286237431,0,0,3411
"36","A42",0.916167664670659,10.7391304347826,5,50.2,16.8,0,33.4,0,2.0388300028398e-05,0,1.35144505285398e-05,0,1.70919880477588e-06,0,1.13294794850034e-06,0,0.000218952613348448,0,0.000132966571185641,0,0.10779294225014,0,0.0714508999443898,0,5287
